,COUNTY,YEAR,MONTH,TMIN,TMAX,SNOW,SSP
0,Aitkin,2040,1,-10.485555648803713,-1.1422221660614014,309.2770080566406,ssp126
1,Aitkin,2040,2,-15.69777774810791,-2.704444408416748,137.47824096679688,ssp126
2,Aitkin,2040,3,-2.444444417953491,7.358889102935791,128.5579071044922,ssp126
3,Aitkin,2040,11,0.9011110663414,9.42111110687256,52.99174499511719,ssp126
4,Aitkin,2040,12,-15.05888843536377,-5.236666679382324,190.4346618652344,ssp126
5,Aitkin,2041,1,-21.32999992370605,-9.5600004196167,251.616943359375,ssp126
6,Aitkin,2041,2,-20.606666564941406,-6.396666526794434,225.60533142089844,ssp126
7,Aitkin,2041,3,-9.859999656677246,2.4344444274902344,220.80322265625,ssp126
8,Aitkin,2041,11,-5.0233330726623535,1.3266665935516355,144.09564208984375,ssp126
9,Aitkin,2041,12,-10.918889045715332,-1.6344444751739502,132.29000854492188,ssp126
10,Aitkin,2042,1,-14.565555572509766,-3.0477778911590576,302.4622497558594,ssp126
11,Aitkin,2042,2,-11.127778053283691,0.7877777814865112,74.93241882324219,ssp126
12,Aitkin,2042,3,-6.687777519226074,5.924444198608398,524.695068359375,ssp126
13,Aitkin,2042,11,-0.0377777777612209,11.374444007873535,56.87348175048828,ssp126
14,Aitkin,2042,12,-7.162221908569336,-0.5788888931274414,163.14297485351562,ssp126
15,Aitkin,2043,1,-7.597777366638184,0.6499999761581421,235.3302764892578,ssp126
16,Aitkin,2043,2,-3.3677778244018555,4.867777824401856,190.21759033203125,ssp126
17,Aitkin,2043,3,-6.054444789886475,5.690000057220459,164.57675170898438,ssp126
18,Aitkin,2043,11,-8.60888957977295,2.0833332538604736,584.3865966796875,ssp126
19,Aitkin,2043,12,-4.361111164093018,2.5999999046325684,349.74578857421875,ssp126
20,Aitkin,2044,1,-18.495555877685547,-3.094444513320923,201.10629272460935,ssp126
21,Aitkin,2044,2,-8.084444046020508,3.926666736602783,179.52537536621094,ssp126
22,Aitkin,2044,3,-6.367777824401856,3.566666603088379,209.3689117431641,ssp126
23,Aitkin,2044,11,-2.992222309112549,7.916666507720947,85.16463470458984,ssp126
24,Aitkin,2044,12,-8.508889198303223,-0.2022222131490707,140.5252227783203,ssp126
25,Aitkin,2045,1,-3.415555477142334,3.539999961853028,114.20604705810548,ssp126
26,Aitkin,2045,2,-7.222222328186035,2.8255555629730225,292.1887512207031,ssp126
27,Aitkin,2045,3,-9.13888931274414,4.138888835906982,288.7015686035156,ssp126
28,Aitkin,2045,11,1.059999942779541,9.163333892822266,144.43853759765625,ssp126
29,Aitkin,2045,12,-7.312222003936768,-0.3300000131130218,221.47311401367188,ssp126
30,Aitkin,2046,1,-18.22222137451172,-5.185555934906006,313.3936767578125,ssp126
31,Aitkin,2046,2,-12.482222557067873,0.2322222143411636,106.36885833740234,ssp126
32,Aitkin,2046,3,-4.760000228881836,5.747777938842773,299.01629638671875,ssp126
33,Aitkin,2046,11,0.8411111235618591,10.516666412353516,154.40338134765625,ssp126
34,Aitkin,2046,12,-7.818889141082764,0.5066666603088379,125.28144073486328,ssp126
35,Aitkin,2047,1,-15.920000076293944,-4.443333625793457,286.1319885253906,ssp126
36,Aitkin,2047,2,-9.005556106567383,3.787777900695801,146.95880126953125,ssp126
37,Aitkin,2047,3,-9.29222297668457,4.015555381774902,193.2437896728516,ssp126
38,Aitkin,2047,11,-4.4811110496521,4.477777481079102,6.338350296020508,ssp126
39,Aitkin,2047,12,-10.572222709655762,-2.147777795791626,404.9085998535156,ssp126
40,Aitkin,2048,1,-19.0222225189209,-7.600000381469727,571.8713989257812,ssp126
41,Aitkin,2048,2,-15.613333702087402,-3.487777709960937,71.88379669189453,ssp126
42,Aitkin,2048,3,-5.515555381774902,7.086666584014893,145.5558624267578,ssp126
43,Aitkin,2048,11,-3.676666736602783,4.941111087799072,158.49720764160156,ssp126
44,Aitkin,2048,12,-4.994444370269775,2.4811110496521,109.3239974975586,ssp126
45,Aitkin,2049,1,-11.93333339691162,-0.9099999666213988,320.3251647949219,ssp126
46,Aitkin,2049,2,-17.595556259155273,-4.221111297607422,33.170936584472656,ssp126
47,Aitkin,2049,3,-6.225555419921875,9.68333339691162,58.39522552490234,ssp126
48,Aitkin,2049,11,-1.204444408416748,7.635555744171143,304.7225036621094,ssp126
49,Aitkin,2049,12,-5.57444429397583,2.0411109924316406,90.29762268066406,ssp126
50,Aitkin,2050,1,-17.30555534362793,-7.414444923400879,224.7185516357422,ssp126
51,Aitkin,2050,2,-10.74222183227539,0.9744445085525512,180.7859039306641,ssp126
52,Aitkin,2050,3,-7.154444217681885,6.351110935211182,425.26611328125,ssp126
53,Aitkin,2050,11,-2.174444437026977,7.356666564941406,710.244873046875,ssp126
54,Aitkin,2050,12,-14.24666690826416,-2.970000028610229,387.3552856445313,ssp126
55,Aitkin,2051,1,-12.93666648864746,-2.021111249923706,171.2841033935547,ssp126
56,Aitkin,2051,2,-12.19777774810791,-0.8933333158493042,217.9904022216797,ssp126
57,Aitkin,2051,3,-3.693333148956299,6.956666946411133,302.2045288085937,ssp126
58,Aitkin,2051,11,2.7555556297302246,13.04888916015625,72.7391128540039,ssp126
59,Aitkin,2051,12,-4.480000019073486,2.261111259460449,157.9635772705078,ssp126
60,Aitkin,2052,1,-15.70444393157959,-5.416666507720947,53.82929992675781,ssp126
61,Aitkin,2052,2,-6.497777938842773,3.2699999809265137,164.33602905273438,ssp126
62,Aitkin,2052,3,-7.953333377838135,4.62666654586792,32.02824401855469,ssp126
63,Aitkin,2052,11,-4.492222309112549,4.682222366333008,274.5747985839844,ssp126
