,COUNTY,YEAR,MONTH,TMIN,TMAX,pr,SNOW,SSP
0,Aitkin,2040,1,-10.485555648803711,-1.1422221660614014,40.2714958190918,309.2770080566406,ssp126
1,Aitkin,2040,2,-15.69777774810791,-2.704444408416748,13.747824668884277,137.47824096679688,ssp126
2,Aitkin,2040,3,-2.444444417953491,7.358889102935791,21.340469360351562,128.5579071044922,ssp126
3,Aitkin,2040,11,0.9011110663414001,9.421111106872559,29.29286766052246,52.99174499511719,ssp126
4,Aitkin,2040,12,-15.05888843536377,-5.236666679382324,19.043466567993164,190.43466186523438,ssp126
5,Aitkin,2041,1,-21.329999923706055,-9.5600004196167,25.161693572998047,251.616943359375,ssp126
6,Aitkin,2041,2,-20.606666564941406,-6.396666526794434,22.56053352355957,225.60533142089844,ssp126
7,Aitkin,2041,3,-9.859999656677246,2.4344444274902344,31.46670913696289,220.80322265625,ssp126
8,Aitkin,2041,11,-5.0233330726623535,1.3266665935516357,14.409564971923828,144.09564208984375,ssp126
9,Aitkin,2041,12,-10.918889045715332,-1.6344444751739502,13.229000091552734,132.29000854492188,ssp126
10,Aitkin,2042,1,-14.565555572509766,-3.0477778911590576,30.48126983642578,302.4622497558594,ssp126
11,Aitkin,2042,2,-11.127778053283691,0.7877777814865112,23.33873176574707,74.93241882324219,ssp126
12,Aitkin,2042,3,-6.687777519226074,5.924444198608398,62.65019989013672,524.695068359375,ssp126
13,Aitkin,2042,11,-0.03777777776122093,11.374444007873535,7.133271217346191,56.87348175048828,ssp126
14,Aitkin,2042,12,-7.162221908569336,-0.5788888931274414,16.31429672241211,163.14297485351562,ssp126
15,Aitkin,2043,1,-7.597777366638184,0.6499999761581421,58.44757080078125,235.3302764892578,ssp126
16,Aitkin,2043,2,-3.3677778244018555,4.8677778244018555,23.74525260925293,190.21759033203125,ssp126
17,Aitkin,2043,3,-6.054444789886475,5.690000057220459,20.83585548400879,164.57675170898438,ssp126
18,Aitkin,2043,11,-8.60888957977295,2.0833332538604736,82.63275909423828,584.3865966796875,ssp126
19,Aitkin,2043,12,-4.361111164093018,2.5999999046325684,46.9008903503418,349.74578857421875,ssp126
20,Aitkin,2044,1,-18.495555877685547,-3.094444513320923,20.54422378540039,201.10629272460938,ssp126
21,Aitkin,2044,2,-8.084444046020508,3.926666736602783,18.269371032714844,179.52537536621094,ssp126
22,Aitkin,2044,3,-6.3677778244018555,3.566666603088379,20.97490692138672,209.36891174316406,ssp126
23,Aitkin,2044,11,-2.992222309112549,7.916666507720947,45.45020294189453,85.16463470458984,ssp126
24,Aitkin,2044,12,-8.508889198303223,-0.20222221314907074,21.377235412597656,140.5252227783203,ssp126
25,Aitkin,2045,1,-3.415555477142334,3.5399999618530273,19.02444076538086,114.20604705810547,ssp126
26,Aitkin,2045,2,-7.222222328186035,2.8255555629730225,31.27653694152832,292.1887512207031,ssp126
27,Aitkin,2045,3,-9.13888931274414,4.138888835906982,29.656511306762695,288.7015686035156,ssp126
28,Aitkin,2045,11,1.059999942779541,9.163333892822266,82.43186950683594,144.43853759765625,ssp126
29,Aitkin,2045,12,-7.312222003936768,-0.33000001311302185,23.729328155517578,221.47311401367188,ssp126
30,Aitkin,2046,1,-18.22222137451172,-5.185555934906006,31.64685821533203,313.3936767578125,ssp126
31,Aitkin,2046,2,-12.482222557067871,0.23222221434116364,13.034427642822266,106.36885833740234,ssp126
32,Aitkin,2046,3,-4.760000228881836,5.747777938842773,30.857994079589844,299.01629638671875,ssp126
33,Aitkin,2046,11,0.8411111235618591,10.516666412353516,36.05096435546875,154.40338134765625,ssp126
34,Aitkin,2046,12,-7.818889141082764,0.5066666603088379,21.36856460571289,125.28144073486328,ssp126
35,Aitkin,2047,1,-15.920000076293945,-4.443333625793457,28.61319923400879,286.1319885253906,ssp126
36,Aitkin,2047,2,-9.005556106567383,3.787777900695801,23.598237991333008,146.95880126953125,ssp126
37,Aitkin,2047,3,-9.29222297668457,4.015555381774902,29.010393142700195,193.24378967285156,ssp126
38,Aitkin,2047,11,-4.4811110496521,4.477777481079102,0.6338350176811218,6.338350296020508,ssp126
39,Aitkin,2047,12,-10.572222709655762,-2.147777795791626,41.05296325683594,404.9085998535156,ssp126
40,Aitkin,2048,1,-19.0222225189209,-7.600000381469727,57.18714141845703,571.8713989257812,ssp126
41,Aitkin,2048,2,-15.613333702087402,-3.4877777099609375,11.101285934448242,71.88379669189453,ssp126
42,Aitkin,2048,3,-5.515555381774902,7.086666584014893,16.702003479003906,145.5558624267578,ssp126
43,Aitkin,2048,11,-3.676666736602783,4.941111087799072,30.521352767944336,158.49720764160156,ssp126
